YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2019,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2019,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2019,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,,
2019,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2019,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2019,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2019,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,54554.0,46048.0
2019,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2019,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2019,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,,
2019,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2019,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2019,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2019,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,221250.0,124080.0
2019,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2019,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,91510.0,75569.0
2019,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,97566.0,23775.0
2019,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,54545.0,22473.0
2019,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,63125.0,49338.0
2019,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,76169.0,15060.0
2019,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,,
2019,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,,
2019,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,54500.0,10318.0
2019,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,76319.0,7255.0
2019,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,81127.0,27057.0
2019,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,69201.0,23676.0
2019,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,39839.0,20855.0
2019,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,59554.0,32986.0
2019,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,56618.0,20628.0
2019,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,68321.0,12362.0
2019,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,57961.0,7659.0
2019,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,,
2019,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,114737.0,55075.0
2019,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,49583.0,23361.0
2019,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,70588.0,26445.0
2019,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,92455.0,46412.0
2019,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,,
2019,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,,
