YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2021,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,100000.0,65286.0
2021,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2021,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,116295.0,95709.0
2021,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,,
2021,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,63412.0,37422.0
2021,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,,
2021,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,86324.0,27087.0
2021,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,,
2021,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,116295.0,95709.0
2021,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,87984.0,10532.0
2021,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,58917.0,26210.0
2021,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,73235.0,18232.0
2021,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,106719.0,59255.0
2021,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,92604.0,44906.0
2021,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,55156.0,33814.0
2021,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,51375.0,35540.0
2021,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,76500.0,24276.0
2021,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,66250.0,49184.0
2021,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,,
2021,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,58190.0,27662.0
2021,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,62886.0,23277.0
2021,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2021,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,40982.0,34298.0
2021,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,85875.0,32305.0
2021,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,86250.0,75296.0
2021,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,73417.0,50680.0
2021,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,141250.0,100435.0
2021,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,81384.0,46900.0
2021,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,52820.0,21906.0
2021,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,134875.0,74141.0
2021,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,39858.0,7437.0
2021,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,236250.0,148081.0
2021,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,,
2021,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,,
2021,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,79125.0,8503.0
2021,6037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,63438.0,46699.0
2021,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,66726.0,54905.0
2021,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,115691.0,41084.0
2021,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,,
2021,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,54353.0,34801.0
2021,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,,
2021,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,172204.0,60002.0
2021,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,80750.0,55115.0
2021,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,74201.0,32012.0
2021,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,38750.0,1828.0
2021,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,140250.0,112160.0
2021,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,68512.0,57198.0
2021,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,100833.0,96021.0
2021,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037431701,Census Tract 4317.01,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037432502,Census Tract 4325.02,Arcadia,Los Angeles County,California,Arcadia,,
2021,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,37167.0,12207.0
2021,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,39167.0,5446.0
2021,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,67234.0,63993.0
2021,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,,
2021,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2021,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,80536.0,27033.0
