YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2018,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,57647.0,35219.0
2018,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2018,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,46828.0,18915.0
2018,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2018,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2018,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2018,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,61250.0,1405.0
2018,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2018,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2018,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,28750.0,23522.0
2018,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2018,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2018,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,81302.0,36775.0
2018,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,152679.0,23007.0
2018,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2018,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,78636.0,20362.0
2018,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,38826.0,4677.0
2018,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,58281.0,8904.0
2018,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2018,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,110833.0,69423.0
2018,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,79125.0,36576.0
2018,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,60694.0,34703.0
2018,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,92841.0,49131.0
2018,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,77644.0,36810.0
2018,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,74219.0,44686.0
2018,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,41000.0,16805.0
2018,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,,
2018,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,48750.0,25958.0
2018,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,53343.0,51543.0
2018,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,77056.0,6630.0
2018,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,,
2018,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,50800.0,25424.0
2018,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,,
2018,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,69444.0,39955.0
2018,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2018,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,96917.0,38403.0
2018,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,63097.0,18926.0
2018,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,,
2018,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,31237.0,10671.0
2018,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,,
2018,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,,
2018,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,149205.0,83434.0
2018,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,73300.0,16934.0
2018,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,76792.0,15943.0
2018,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,45927.0,37832.0
2018,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,55403.0,42697.0
2018,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,,
2018,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,,
2018,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,,
2018,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
