YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2023,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,142634.0,3125.0
2023,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2023,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,151923.0,123680.0
2023,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,107500.0,44136.0
2023,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,145714.0,66911.0
2023,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,,
2023,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,151923.0,123680.0
2023,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,,
2023,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,93148.0,24031.0
2023,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,90707.0,37167.0
2023,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,91817.0,32478.0
2023,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,98958.0,75009.0
2023,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,78750.0,40572.0
2023,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,57784.0,15761.0
2023,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,74137.0,19560.0
2023,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,81684.0,6428.0
2023,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,120917.0,31554.0
2023,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,83125.0,25969.0
2023,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,71021.0,3933.0
